
iter 103: loss 2.4680, time 1165.82ms, mfu 5.37%
iter 104: loss 2.4104, time 1138.12ms, mfu 5.41%
iter 105: loss 2.5963, time 1145.28ms, mfu 5.44%
iter 106: loss 2.4505, time 1161.05ms, mfu 5.46%
iter 107: loss 2.4889, time 1161.12ms, mfu 5.48%
iter 108: loss 2.3759, time 1146.14ms, mfu 5.50%
iter 109: loss 2.5041, time 1146.26ms, mfu 5.52%
iter 110: loss 2.4174, time 1161.12ms, mfu 5.54%
iter 111: loss 2.4071, time 1161.57ms, mfu 5.55%
iter 112: loss 2.4378, time 1160.64ms, mfu 5.56%
iter 113: loss 2.4820, time 1177.25ms, mfu 5.56%
iter 114: loss 2.4652, time 1181.01ms, mfu 5.56%
iter 115: loss 2.5047, time 1172.74ms, mfu 5.56%
iter 116: loss 2.4435, time 1171.46ms, mfu 5.56%
iter 117: loss 2.4152, time 1179.28ms, mfu 5.56%
iter 118: loss 2.4093, time 1176.34ms, mfu 5.56%
iter 119: loss 2.3992, time 1145.50ms, mfu 5.58%
iter 120: loss 2.4090, time 1176.98ms, mfu 5.58%
iter 121: loss 2.4753, time 1159.94ms, mfu 5.58%
iter 122: loss 2.4295, time 1177.34ms, mfu 5.58%
iter 123: loss 2.4405, time 1161.73ms, mfu 5.59%
iter 124: loss 2.3925, time 1165.06ms, mfu 5.59%
iter 125: loss 2.4343, time 1157.81ms, mfu 5.60%
iter 126: loss 2.5018, time 1175.31ms, mfu 5.59%
iter 127: loss 2.4219, time 1155.27ms, mfu 5.60%
iter 128: loss 2.4093, time 1147.41ms, mfu 5.61%
iter 129: loss 2.4447, time 1164.81ms, mfu 5.61%
iter 130: loss 2.3635, time 1171.43ms, mfu 5.61%
iter 131: loss 2.2918, time 1148.78ms, mfu 5.62%
iter 132: loss 2.3858, time 1134.48ms, mfu 5.64%
iter 133: loss 2.3924, time 1160.59ms, mfu 5.64%
iter 134: loss 2.3323, time 1148.70ms, mfu 5.64%
iter 135: loss 2.4402, time 1132.43ms, mfu 5.66%
iter 136: loss 2.3725, time 1141.16ms, mfu 5.67%
iter 137: loss 2.4329, time 1137.05ms, mfu 5.68%
iter 138: loss 2.3808, time 1157.06ms, mfu 5.67%
iter 139: loss 2.4112, time 1135.78ms, mfu 5.68%
iter 140: loss 2.4095, time 1148.57ms, mfu 5.69%
iter 141: loss 2.2909, time 1176.08ms, mfu 5.67%
iter 142: loss 2.3028, time 1134.83ms, mfu 5.68%
iter 143: loss 2.3943, time 1145.01ms, mfu 5.69%
iter 144: loss 2.3258, time 1140.06ms, mfu 5.69%
iter 145: loss 2.3885, time 1170.50ms, mfu 5.68%
iter 146: loss 2.4396, time 1156.39ms, mfu 5.68%
iter 147: loss 2.3656, time 1146.29ms, mfu 5.68%
iter 148: loss 2.3519, time 1144.13ms, mfu 5.69%
iter 149: loss 2.3486, time 1185.01ms, mfu 5.67%
iter 150: loss 2.3296, time 1148.87ms, mfu 5.68%
iter 151: loss 2.3566, time 1148.06ms, mfu 5.68%
iter 152: loss 2.3472, time 1159.68ms, mfu 5.68%
iter 153: loss 2.3451, time 1142.74ms, mfu 5.68%
iter 154: loss 2.4190, time 1173.83ms, mfu 5.67%
iter 155: loss 2.3066, time 1145.88ms, mfu 5.68%
iter 156: loss 2.3033, time 1140.31ms, mfu 5.68%
iter 157: loss 2.3011, time 1176.45ms, mfu 5.67%
iter 158: loss 2.4082, time 1146.33ms, mfu 5.68%
iter 159: loss 2.3604, time 1146.03ms, mfu 5.68%
iter 160: loss 2.4052, time 1132.00ms, mfu 5.69%
iter 161: loss 2.3338, time 1145.42ms, mfu 5.69%
iter 162: loss 2.2898, time 1146.76ms, mfu 5.70%
iter 163: loss 2.3797, time 1145.07ms, mfu 5.70%
iter 164: loss 2.4554, time 1130.02ms, mfu 5.71%
iter 165: loss 2.3881, time 1146.78ms, mfu 5.71%
iter 166: loss 2.3228, time 1145.20ms, mfu 5.71%
iter 167: loss 2.2918, time 1147.52ms, mfu 5.71%
iter 168: loss 2.3647, time 1155.81ms, mfu 5.70%
iter 169: loss 2.2694, time 1140.20ms, mfu 5.71%
iter 170: loss 2.2756, time 1155.66ms, mfu 5.70%
iter 171: loss 2.3457, time 1148.30ms, mfu 5.70%
iter 172: loss 2.3197, time 1145.94ms, mfu 5.71%
iter 173: loss 2.3041, time 1147.23ms, mfu 5.71%
iter 174: loss 2.2882, time 1146.81ms, mfu 5.71%
iter 175: loss 2.2846, time 1147.40ms, mfu 5.71%
iter 176: loss 2.3163, time 1149.74ms, mfu 5.71%
iter 177: loss 2.2487, time 1146.37ms, mfu 5.71%
iter 178: loss 2.2668, time 1162.07ms, mfu 5.70%
iter 179: loss 2.3699, time 1131.72ms, mfu 5.71%
iter 180: loss 2.2631, time 1136.73ms, mfu 5.71%
iter 181: loss 2.2208, time 1162.69ms, mfu 5.71%
iter 182: loss 2.2864, time 1146.56ms, mfu 5.71%
iter 183: loss 2.1746, time 1129.74ms, mfu 5.72%
iter 184: loss 2.3220, time 1131.53ms, mfu 5.72%
iter 185: loss 2.3290, time 1162.21ms, mfu 5.71%
iter 186: loss 2.3240, time 1145.36ms, mfu 5.72%
iter 187: loss 2.2377, time 1178.81ms, mfu 5.70%
iter 188: loss 2.2243, time 1162.81ms, mfu 5.69%
iter 189: loss 2.2387, time 1162.84ms, mfu 5.69%
iter 190: loss 2.2349, time 1146.83ms, mfu 5.69%
iter 191: loss 2.2604, time 1146.03ms, mfu 5.69%
iter 192: loss 2.1656, time 1149.55ms, mfu 5.69%
iter 193: loss 2.2280, time 1129.25ms, mfu 5.70%
iter 194: loss 2.1850, time 1158.18ms, mfu 5.70%
iter 195: loss 2.2305, time 1169.98ms, mfu 5.69%
iter 196: loss 2.2479, time 1167.34ms, mfu 5.68%
iter 197: loss 2.1206, time 1165.10ms, mfu 5.68%
iter 198: loss 2.1286, time 1164.64ms, mfu 5.67%
iter 199: loss 2.2063, time 1168.94ms, mfu 5.66%
iter 200: loss 2.2492, time 4216.92ms, mfu 5.25%
iter 201: loss 2.2102, time 1163.44ms, mfu 5.29%
iter 202: loss 2.1940, time 1148.50ms, mfu 5.33%
iter 203: loss 2.2221, time 1163.77ms, mfu 5.36%
iter 204: loss 2.2191, time 1143.45ms, mfu 5.40%
iter 205: loss 2.2293, time 1139.82ms, mfu 5.43%
iter 206: loss 2.1029, time 1155.06ms, mfu 5.46%
iter 207: loss 2.1295, time 1151.89ms, mfu 5.48%
iter 208: loss 2.2224, time 1138.91ms, mfu 5.51%
iter 209: loss 2.2668, time 1166.13ms, mfu 5.52%
iter 210: loss 2.2546, time 1145.59ms, mfu 5.54%
iter 211: loss 2.1430, time 1139.73ms, mfu 5.56%
iter 212: loss 2.0647, time 1163.63ms, mfu 5.57%
iter 213: loss 2.1496, time 1152.48ms, mfu 5.58%
iter 214: loss 2.2191, time 1154.99ms, mfu 5.59%
iter 215: loss 2.0604, time 1163.19ms, mfu 5.59%
iter 216: loss 2.2783, time 1148.35ms, mfu 5.60%
iter 217: loss 2.1708, time 1146.51ms, mfu 5.61%
iter 218: loss 2.0968, time 1153.95ms, mfu 5.62%
iter 219: loss 2.0770, time 1157.44ms, mfu 5.62%
iter 220: loss 2.1932, time 1179.91ms, mfu 5.62%
iter 221: loss 2.1263, time 1150.91ms, mfu 5.62%
iter 222: loss 2.1355, time 1151.75ms, mfu 5.63%
iter 223: loss 2.1281, time 1138.61ms, mfu 5.64%
iter 224: loss 2.1271, time 1143.34ms, mfu 5.65%
iter 225: loss 2.1062, time 1141.91ms, mfu 5.66%
iter 226: loss 2.0556, time 1160.48ms, mfu 5.66%
iter 227: loss 2.1191, time 1177.30ms, mfu 5.65%
iter 228: loss 2.1953, time 1129.49ms, mfu 5.66%
iter 229: loss 2.0768, time 1161.28ms, mfu 5.66%
iter 230: loss 2.0583, time 1129.68ms, mfu 5.68%
iter 231: loss 2.0383, time 1163.26ms, mfu 5.67%
iter 232: loss 2.0616, time 1161.59ms, mfu 5.67%
iter 233: loss 2.1957, time 1129.13ms, mfu 5.68%
iter 234: loss 2.0950, time 1146.54ms, mfu 5.68%
iter 235: loss 1.9517, time 1129.54ms, mfu 5.70%
iter 236: loss 2.1235, time 1147.11ms, mfu 5.70%
iter 237: loss 2.0679, time 1145.21ms, mfu 5.70%
iter 238: loss 2.0237, time 1146.51ms, mfu 5.70%
iter 239: loss 2.1380, time 1145.42ms, mfu 5.70%
iter 240: loss 2.0383, time 1129.39ms, mfu 5.71%
iter 241: loss 2.1580, time 1146.18ms, mfu 5.71%
