
iter 103: loss 2.4049, time 1186.64ms, mfu 5.26%
iter 104: loss 2.4892, time 1176.01ms, mfu 5.29%
iter 105: loss 2.5289, time 1190.14ms, mfu 5.31%
iter 106: loss 2.4032, time 1176.53ms, mfu 5.34%
iter 107: loss 2.4553, time 1185.44ms, mfu 5.36%
iter 108: loss 2.3470, time 1171.99ms, mfu 5.38%
iter 109: loss 2.2826, time 1185.62ms, mfu 5.39%
iter 110: loss 2.4405, time 1177.72ms, mfu 5.41%
iter 111: loss 2.5068, time 1172.42ms, mfu 5.43%
iter 112: loss 2.5177, time 1174.17ms, mfu 5.44%
iter 113: loss 2.4117, time 1168.18ms, mfu 5.46%
iter 114: loss 2.3855, time 1185.02ms, mfu 5.47%
iter 115: loss 2.4155, time 1172.08ms, mfu 5.48%
iter 116: loss 2.3829, time 1170.32ms, mfu 5.49%
iter 117: loss 2.4264, time 1180.39ms, mfu 5.50%
iter 118: loss 2.4578, time 1165.12ms, mfu 5.51%
iter 119: loss 2.5149, time 1177.31ms, mfu 5.51%
iter 120: loss 2.3129, time 1194.52ms, mfu 5.51%
iter 121: loss 2.3245, time 1173.55ms, mfu 5.52%
iter 122: loss 2.3662, time 1169.55ms, mfu 5.53%
iter 123: loss 2.3641, time 1177.88ms, mfu 5.53%
iter 124: loss 2.3013, time 1172.48ms, mfu 5.54%
iter 125: loss 2.4271, time 1190.37ms, mfu 5.53%
iter 126: loss 2.3935, time 1180.44ms, mfu 5.53%
iter 127: loss 2.4261, time 1177.01ms, mfu 5.54%
iter 128: loss 2.3294, time 1165.63ms, mfu 5.55%
iter 129: loss 2.3626, time 1174.93ms, mfu 5.55%
iter 130: loss 2.3299, time 1184.12ms, mfu 5.55%
iter 131: loss 2.4023, time 1172.87ms, mfu 5.55%
iter 132: loss 2.3305, time 1178.19ms, mfu 5.55%
iter 133: loss 2.3459, time 1158.35ms, mfu 5.56%
iter 134: loss 2.3169, time 1184.10ms, mfu 5.56%
iter 135: loss 2.3119, time 1172.51ms, mfu 5.56%
iter 136: loss 2.3260, time 1178.46ms, mfu 5.56%
iter 137: loss 2.3905, time 1170.54ms, mfu 5.56%
iter 138: loss 2.3948, time 1183.42ms, mfu 5.56%
iter 139: loss 2.3815, time 1184.70ms, mfu 5.56%
iter 140: loss 2.3148, time 1185.14ms, mfu 5.56%
iter 141: loss 2.3036, time 1178.43ms, mfu 5.56%
iter 142: loss 2.3533, time 1188.67ms, mfu 5.55%
iter 143: loss 2.2961, time 1175.42ms, mfu 5.55%
iter 144: loss 2.3603, time 1174.04ms, mfu 5.56%
iter 145: loss 2.3510, time 1175.35ms, mfu 5.56%
iter 146: loss 2.3295, time 1186.64ms, mfu 5.55%
iter 147: loss 2.3658, time 1168.29ms, mfu 5.56%
iter 148: loss 2.2758, time 1188.39ms, mfu 5.55%
iter 149: loss 2.3398, time 1188.65ms, mfu 5.55%
iter 150: loss 2.2053, time 1168.41ms, mfu 5.56%
iter 151: loss 2.3093, time 1189.38ms, mfu 5.55%
iter 152: loss 2.2851, time 1176.09ms, mfu 5.55%
iter 153: loss 2.2413, time 1173.53ms, mfu 5.56%
iter 154: loss 2.3273, time 1173.78ms, mfu 5.56%
iter 155: loss 2.1904, time 1183.01ms, mfu 5.56%
iter 156: loss 2.2946, time 1189.11ms, mfu 5.55%
iter 157: loss 2.3931, time 1181.84ms, mfu 5.55%
