
iter 1060: loss 1.1345, time 72.81ms, mfu 4.80%
iter 1070: loss 1.1100, time 73.80ms, mfu 4.83%
iter 1080: loss 1.1430, time 72.81ms, mfu 4.86%
iter 1090: loss 1.1086, time 72.81ms, mfu 4.88%
iter 1100: loss 1.1227, time 73.77ms, mfu 4.90%
iter 1110: loss 1.1414, time 72.80ms, mfu 4.92%
iter 1120: loss 1.1037, time 72.81ms, mfu 4.94%
iter 1130: loss 1.0861, time 73.80ms, mfu 4.95%
iter 1140: loss 1.0636, time 72.80ms, mfu 4.96%
iter 1150: loss 1.0704, time 72.81ms, mfu 4.98%
iter 1160: loss 1.0665, time 72.81ms, mfu 4.99%
iter 1170: loss 1.0453, time 72.81ms, mfu 5.00%
iter 1180: loss 1.0710, time 72.81ms, mfu 5.02%
iter 1190: loss 1.0570, time 73.80ms, mfu 5.02%
iter 1200: loss 1.0419, time 73.80ms, mfu 5.02%
iter 1210: loss 1.0364, time 80.78ms, mfu 4.98%
iter 1220: loss 1.0168, time 72.81ms, mfu 4.99%
iter 1230: loss 1.0542, time 72.80ms, mfu 5.00%
iter 1240: loss 1.0003, time 83.78ms, mfu 4.95%
iter 1250: loss 1.0342, time 10030.74ms, mfu 4.46%
iter 1260: loss 1.0115, time 72.81ms, mfu 4.52%
iter 1270: loss 1.0034, time 80.79ms, mfu 4.53%
iter 1280: loss 1.0007, time 74.80ms, mfu 4.58%
iter 1290: loss 0.9916, time 72.81ms, mfu 4.63%
iter 1300: loss 0.9859, time 73.80ms, mfu 4.67%
iter 1310: loss 0.9656, time 73.80ms, mfu 4.71%
iter 1320: loss 0.9591, time 74.77ms, mfu 4.73%
iter 1330: loss 0.9668, time 80.79ms, mfu 4.72%
iter 1340: loss 0.9596, time 72.78ms, mfu 4.76%
iter 1350: loss 0.9506, time 72.81ms, mfu 4.80%
iter 1360: loss 0.9546, time 72.80ms, mfu 4.83%
iter 1370: loss 0.9463, time 72.81ms, mfu 4.86%
iter 1380: loss 0.9464, time 72.78ms, mfu 4.88%
iter 1390: loss 0.9393, time 72.81ms, mfu 4.90%
iter 1400: loss 0.9273, time 72.80ms, mfu 4.93%
iter 1410: loss 0.9171, time 73.80ms, mfu 4.94%
iter 1420: loss 0.9154, time 72.78ms, mfu 4.95%
iter 1430: loss 0.9224, time 72.81ms, mfu 4.97%
iter 1440: loss 0.8975, time 73.80ms, mfu 4.98%
iter 1450: loss 0.8825, time 72.77ms, mfu 4.99%
iter 1460: loss 0.8931, time 72.81ms, mfu 5.00%
iter 1470: loss 0.8807, time 72.82ms, mfu 5.01%
iter 1480: loss 0.8663, time 72.81ms, mfu 5.02%
iter 1490: loss 0.8435, time 72.81ms, mfu 5.03%
iter 1500: loss 0.8647, time 9816.79ms, mfu 4.53%
iter 1510: loss 0.8612, time 72.84ms, mfu 4.59%
iter 1520: loss 0.8402, time 73.80ms, mfu 4.64%
iter 1530: loss 0.8458, time 72.80ms, mfu 4.68%
iter 1540: loss 0.8235, time 72.81ms, mfu 4.73%
iter 1550: loss 0.8385, time 73.80ms, mfu 4.76%
iter 1560: loss 0.8450, time 72.81ms, mfu 4.79%
iter 1570: loss 0.8322, time 72.81ms, mfu 4.83%
iter 1580: loss 0.8073, time 72.80ms, mfu 4.85%
iter 1590: loss 0.8093, time 79.79ms, mfu 4.83%
iter 1600: loss 0.7885, time 72.81ms, mfu 4.86%
iter 1610: loss 0.7923, time 73.80ms, mfu 4.88%
iter 1620: loss 0.7978, time 72.81ms, mfu 4.90%
iter 1630: loss 0.7880, time 72.81ms, mfu 4.92%
iter 1640: loss 0.7746, time 72.81ms, mfu 4.94%
iter 1650: loss 0.7723, time 72.81ms, mfu 4.96%
iter 1660: loss 0.7735, time 73.80ms, mfu 4.97%
iter 1670: loss 0.7449, time 72.81ms, mfu 4.98%
iter 1680: loss 0.7641, time 72.81ms, mfu 5.00%
iter 1690: loss 0.7486, time 72.81ms, mfu 5.01%
iter 1700: loss 0.7785, time 72.81ms, mfu 5.02%
iter 1710: loss 0.7226, time 72.81ms, mfu 5.03%
iter 1720: loss 0.7595, time 72.81ms, mfu 5.04%
iter 1730: loss 0.6861, time 72.81ms, mfu 5.04%
iter 1740: loss 0.7053, time 75.80ms, mfu 5.03%
iter 1750: loss 0.7418, time 9854.66ms, mfu 4.53%
iter 1760: loss 0.6939, time 72.81ms, mfu 4.59%
iter 1770: loss 0.7130, time 73.80ms, mfu 4.63%
iter 1780: loss 0.7040, time 72.81ms, mfu 4.68%
iter 1790: loss 0.6864, time 73.80ms, mfu 4.72%
iter 1800: loss 0.6775, time 72.80ms, mfu 4.76%
iter 1810: loss 0.6755, time 72.81ms, mfu 4.79%
iter 1820: loss 0.6593, time 73.81ms, mfu 4.82%
iter 1830: loss 0.6677, time 72.81ms, mfu 4.85%
iter 1840: loss 0.6729, time 72.81ms, mfu 4.87%
iter 1850: loss 0.6446, time 72.80ms, mfu 4.90%
iter 1860: loss 0.6578, time 79.81ms, mfu 4.87%
iter 1870: loss 0.6595, time 78.79ms, mfu 4.86%
iter 1880: loss 0.6265, time 76.79ms, mfu 4.86%
iter 1890: loss 0.6512, time 82.78ms, mfu 4.82%
iter 1900: loss 0.6348, time 73.80ms, mfu 4.84%
iter 1910: loss 0.6247, time 80.78ms, mfu 4.82%
iter 1920: loss 0.6145, time 74.80ms, mfu 4.84%
iter 1930: loss 0.6432, time 73.81ms, mfu 4.86%
iter 1940: loss 0.6054, time 72.81ms, mfu 4.88%
iter 1950: loss 0.5855, time 72.81ms, mfu 4.90%
iter 1960: loss 0.6268, time 80.79ms, mfu 4.87%
iter 1970: loss 0.5858, time 77.79ms, mfu 4.87%
iter 1980: loss 0.6229, time 82.78ms, mfu 4.83%
iter 1990: loss 0.5775, time 81.81ms, mfu 4.80%
iter 2000: loss 0.5734, time 10071.88ms, mfu 4.32%
iter 2010: loss 0.5812, time 72.81ms, mfu 4.40%
iter 2020: loss 0.5559, time 72.82ms, mfu 4.47%
iter 2030: loss 0.5670, time 72.81ms, mfu 4.54%
iter 2040: loss 0.5806, time 79.81ms, mfu 4.55%
iter 2050: loss 0.5685, time 73.83ms, mfu 4.60%
iter 2060: loss 0.5494, time 72.81ms, mfu 4.65%
iter 2070: loss 0.5530, time 72.77ms, mfu 4.70%
iter 2080: loss 0.5454, time 72.81ms, mfu 4.74%
iter 2090: loss 0.5625, time 73.80ms, mfu 4.77%
iter 2100: loss 0.5347, time 73.80ms, mfu 4.80%
iter 2110: loss 0.5083, time 72.81ms, mfu 4.83%
iter 2120: loss 0.5035, time 72.81ms, mfu 4.86%
iter 2130: loss 0.4881, time 72.81ms, mfu 4.88%
iter 2140: loss 0.4998, time 73.80ms, mfu 4.90%
iter 2150: loss 0.5205, time 72.81ms, mfu 4.92%
iter 2160: loss 0.4985, time 72.81ms, mfu 4.94%
iter 2170: loss 0.5017, time 72.81ms, mfu 4.96%
iter 2180: loss 0.4776, time 72.81ms, mfu 4.97%
iter 2190: loss 0.4900, time 73.80ms, mfu 4.98%
iter 2200: loss 0.4760, time 78.79ms, mfu 4.95%
iter 2210: loss 0.4739, time 72.81ms, mfu 4.97%
iter 2220: loss 0.4706, time 72.81ms, mfu 4.98%
iter 2230: loss 0.4754, time 72.83ms, mfu 5.00%
iter 2240: loss 0.4870, time 74.80ms, mfu 4.99%
iter 2250: loss 0.4651, time 9972.35ms, mfu 4.50%
iter 2260: loss 0.4774, time 73.80ms, mfu 4.55%
iter 2270: loss 0.4630, time 73.83ms, mfu 4.60%
iter 2280: loss 0.4641, time 73.80ms, mfu 4.65%
iter 2290: loss 0.4519, time 72.81ms, mfu 4.69%
iter 2300: loss 0.4537, time 72.81ms, mfu 4.73%
iter 2310: loss 0.4508, time 72.81ms, mfu 4.77%
iter 2320: loss 0.4265, time 73.80ms, mfu 4.80%
iter 2330: loss 0.4422, time 72.80ms, mfu 4.83%
iter 2340: loss 0.4307, time 72.83ms, mfu 4.86%
iter 2350: loss 0.4270, time 73.83ms, mfu 4.88%
iter 2360: loss 0.4237, time 72.81ms, mfu 4.90%
iter 2370: loss 0.4165, time 73.80ms, mfu 4.91%
iter 2380: loss 0.4301, time 72.80ms, mfu 4.93%
iter 2390: loss 0.4206, time 73.77ms, mfu 4.95%
iter 2400: loss 0.4145, time 72.81ms, mfu 4.96%
iter 2410: loss 0.3935, time 72.81ms, mfu 4.98%
iter 2420: loss 0.4153, time 73.80ms, mfu 4.98%
iter 2430: loss 0.3940, time 73.80ms, mfu 4.99%
iter 2440: loss 0.4072, time 78.79ms, mfu 4.96%
iter 2450: loss 0.3927, time 74.80ms, mfu 4.96%
iter 2460: loss 0.4042, time 76.79ms, mfu 4.95%
iter 2470: loss 0.3981, time 72.81ms, mfu 4.97%
iter 2480: loss 0.3884, time 72.81ms, mfu 4.98%
iter 2490: loss 0.3847, time 72.81ms, mfu 5.00%
iter 2500: loss 0.3945, time 9827.90ms, mfu 4.50%
iter 2510: loss 0.3793, time 72.81ms, mfu 4.56%
iter 2520: loss 0.3807, time 72.81ms, mfu 4.62%
iter 2530: loss 0.3785, time 72.81ms, mfu 4.67%
iter 2540: loss 0.3807, time 72.81ms, mfu 4.71%
iter 2550: loss 0.3793, time 72.81ms, mfu 4.75%
iter 2560: loss 0.3668, time 72.80ms, mfu 4.79%
iter 2570: loss 0.3541, time 74.80ms, mfu 4.81%
iter 2580: loss 0.3588, time 72.81ms, mfu 4.84%
iter 2590: loss 0.3781, time 72.81ms, mfu 4.86%
iter 2600: loss 0.3637, time 72.81ms, mfu 4.89%
iter 2610: loss 0.3451, time 72.81ms, mfu 4.91%
iter 2620: loss 0.3485, time 72.81ms, mfu 4.93%
iter 2630: loss 0.3401, time 73.80ms, mfu 4.94%
iter 2640: loss 0.3546, time 72.81ms, mfu 4.96%
iter 2650: loss 0.3349, time 72.79ms, mfu 4.97%
iter 2660: loss 0.3436, time 72.81ms, mfu 4.99%
iter 2670: loss 0.3623, time 72.81ms, mfu 5.00%
iter 2680: loss 0.3417, time 72.80ms, mfu 5.01%
iter 2690: loss 0.3386, time 72.81ms, mfu 5.02%
iter 2700: loss 0.3303, time 72.80ms, mfu 5.03%
iter 2710: loss 0.3295, time 72.81ms, mfu 5.04%
iter 2720: loss 0.3337, time 73.81ms, mfu 5.04%
iter 2730: loss 0.3242, time 72.79ms, mfu 5.05%
iter 2740: loss 0.3247, time 72.81ms, mfu 5.05%
iter 2750: loss 0.3331, time 9862.65ms, mfu 4.55%
iter 2760: loss 0.3243, time 73.80ms, mfu 4.60%
iter 2770: loss 0.3127, time 72.81ms, mfu 4.65%
iter 2780: loss 0.3334, time 72.77ms, mfu 4.70%
iter 2790: loss 0.3117, time 72.80ms, mfu 4.74%
iter 2800: loss 0.3069, time 72.81ms, mfu 4.78%
iter 2810: loss 0.3220, time 73.80ms, mfu 4.80%
iter 2820: loss 0.3214, time 73.80ms, mfu 4.83%
iter 2830: loss 0.3010, time 72.81ms, mfu 4.86%
iter 2840: loss 0.3133, time 72.81ms, mfu 4.88%
iter 2850: loss 0.3039, time 72.81ms, mfu 4.90%
iter 2860: loss 0.3043, time 72.81ms, mfu 4.92%
iter 2870: loss 0.3166, time 72.80ms, mfu 4.94%
iter 2880: loss 0.3052, time 72.80ms, mfu 4.96%
iter 2890: loss 0.2946, time 72.80ms, mfu 4.98%
iter 2900: loss 0.3022, time 74.80ms, mfu 4.98%
iter 2910: loss 0.2910, time 73.80ms, mfu 4.98%
iter 2920: loss 0.2944, time 72.81ms, mfu 5.00%
iter 2930: loss 0.2846, time 72.81ms, mfu 5.01%
iter 2940: loss 0.2816, time 72.81ms, mfu 5.02%
iter 2950: loss 0.2925, time 72.81ms, mfu 5.03%
iter 2960: loss 0.2948, time 72.80ms, mfu 5.04%
iter 2970: loss 0.2705, time 73.80ms, mfu 5.04%
iter 2980: loss 0.2733, time 72.81ms, mfu 5.04%
iter 2990: loss 0.2594, time 72.81ms, mfu 5.05%
iter 3000: loss 0.2851, time 9840.70ms, mfu 4.55%
iter 3010: loss 0.2811, time 72.80ms, mfu 4.61%
iter 3020: loss 0.2772, time 72.81ms, mfu 4.66%
iter 3030: loss 0.2631, time 72.81ms, mfu 4.70%
iter 3040: loss 0.2695, time 74.80ms, mfu 4.73%
iter 3050: loss 0.2604, time 72.81ms, mfu 4.77%
iter 3060: loss 0.2747, time 72.80ms, mfu 4.80%
iter 3070: loss 0.2624, time 72.81ms, mfu 4.83%
iter 3080: loss 0.2628, time 73.80ms, mfu 4.85%
iter 3090: loss 0.2626, time 72.83ms, mfu 4.88%
iter 3100: loss 0.2643, time 72.81ms, mfu 4.90%
