
iter 103: loss 2.3892, time 1192.47ms, mfu 5.20%
iter 104: loss 2.4814, time 1193.94ms, mfu 5.23%
iter 105: loss 2.5236, time 1192.01ms, mfu 5.25%
iter 106: loss 2.4024, time 1191.00ms, mfu 5.28%
iter 107: loss 2.4569, time 1190.20ms, mfu 5.30%
iter 108: loss 2.3260, time 1191.38ms, mfu 5.32%
iter 109: loss 2.3333, time 1191.10ms, mfu 5.34%
iter 110: loss 2.4195, time 1193.75ms, mfu 5.35%
iter 111: loss 2.4657, time 1189.84ms, mfu 5.37%
iter 112: loss 2.5060, time 1195.42ms, mfu 5.38%
iter 113: loss 2.3847, time 1194.47ms, mfu 5.39%
iter 114: loss 2.3616, time 1193.86ms, mfu 5.40%
iter 115: loss 2.4052, time 1189.50ms, mfu 5.41%
iter 116: loss 2.3753, time 1192.37ms, mfu 5.42%
iter 117: loss 2.4279, time 1192.58ms, mfu 5.43%
iter 118: loss 2.4626, time 1194.67ms, mfu 5.43%
iter 119: loss 2.5009, time 1190.68ms, mfu 5.44%
iter 120: loss 2.3077, time 1194.83ms, mfu 5.44%
iter 121: loss 2.3118, time 1193.30ms, mfu 5.45%
iter 122: loss 2.3468, time 1197.29ms, mfu 5.45%
iter 123: loss 2.3357, time 1193.62ms, mfu 5.45%
iter 124: loss 2.3004, time 1195.53ms, mfu 5.46%
iter 125: loss 2.4212, time 1191.09ms, mfu 5.46%
iter 126: loss 2.3608, time 1195.26ms, mfu 5.46%
iter 127: loss 2.4246, time 1193.72ms, mfu 5.47%
iter 128: loss 2.3148, time 1197.22ms, mfu 5.47%
iter 129: loss 2.3426, time 1191.68ms, mfu 5.47%
iter 130: loss 2.3134, time 1195.52ms, mfu 5.47%
iter 131: loss 2.4116, time 1193.00ms, mfu 5.47%
iter 132: loss 2.3252, time 1194.39ms, mfu 5.47%
iter 133: loss 2.3810, time 1192.06ms, mfu 5.48%
iter 134: loss 2.3330, time 1196.17ms, mfu 5.48%
iter 135: loss 2.3184, time 1194.02ms, mfu 5.48%
iter 136: loss 2.3278, time 1194.92ms, mfu 5.48%
iter 137: loss 2.3920, time 1193.20ms, mfu 5.48%
iter 138: loss 2.3648, time 1191.69ms, mfu 5.48%
iter 139: loss 2.3645, time 1193.22ms, mfu 5.48%
iter 140: loss 2.2861, time 1193.76ms, mfu 5.48%
iter 141: loss 2.2705, time 1194.26ms, mfu 5.48%
iter 142: loss 2.3571, time 1194.70ms, mfu 5.48%
iter 143: loss 2.2576, time 1192.76ms, mfu 5.48%
iter 144: loss 2.3195, time 1194.20ms, mfu 5.48%
iter 145: loss 2.3414, time 1193.44ms, mfu 5.48%
iter 146: loss 2.3006, time 1195.60ms, mfu 5.48%
iter 147: loss 2.3466, time 1192.69ms, mfu 5.48%
iter 148: loss 2.2686, time 1196.01ms, mfu 5.48%
iter 149: loss 2.3345, time 1193.41ms, mfu 5.48%
iter 150: loss 2.2062, time 1194.51ms, mfu 5.48%
iter 151: loss 2.3103, time 1194.08ms, mfu 5.48%
iter 152: loss 2.2687, time 1192.98ms, mfu 5.48%
iter 153: loss 2.2293, time 1194.01ms, mfu 5.49%
iter 154: loss 2.3258, time 1195.59ms, mfu 5.48%
iter 155: loss 2.1901, time 1192.59ms, mfu 5.49%
iter 156: loss 2.3005, time 1196.08ms, mfu 5.48%
iter 157: loss 2.3926, time 1194.39ms, mfu 5.48%
iter 158: loss 2.3073, time 1196.26ms, mfu 5.48%
iter 159: loss 2.1989, time 1192.63ms, mfu 5.48%
iter 160: loss 2.2552, time 1194.49ms, mfu 5.48%
iter 161: loss 2.2279, time 1193.11ms, mfu 5.48%
iter 162: loss 2.3164, time 1196.60ms, mfu 5.48%
iter 163: loss 2.2312, time 1192.70ms, mfu 5.48%
iter 164: loss 2.3592, time 1195.87ms, mfu 5.48%
iter 165: loss 2.2177, time 1192.88ms, mfu 5.48%
iter 166: loss 2.2607, time 1197.68ms, mfu 5.48%
iter 167: loss 2.3319, time 1191.90ms, mfu 5.48%
iter 168: loss 2.2551, time 1195.28ms, mfu 5.48%
iter 169: loss 2.2616, time 1191.81ms, mfu 5.49%
iter 170: loss 2.1323, time 1192.83ms, mfu 5.49%
iter 171: loss 2.2942, time 1193.14ms, mfu 5.49%
iter 172: loss 2.2055, time 1194.07ms, mfu 5.49%
iter 173: loss 2.2375, time 1192.24ms, mfu 5.49%
iter 174: loss 2.2365, time 1194.85ms, mfu 5.49%
iter 175: loss 2.2333, time 1192.71ms, mfu 5.49%
iter 176: loss 2.1313, time 1195.59ms, mfu 5.49%
iter 177: loss 2.2133, time 1196.14ms, mfu 5.49%
iter 178: loss 2.2187, time 1192.50ms, mfu 5.49%
iter 179: loss 2.1736, time 1197.38ms, mfu 5.48%
iter 180: loss 2.2731, time 1196.63ms, mfu 5.48%
iter 181: loss 2.2519, time 1192.27ms, mfu 5.48%
iter 182: loss 2.3136, time 1195.28ms, mfu 5.48%
iter 183: loss 2.1792, time 1193.06ms, mfu 5.48%
iter 184: loss 2.1251, time 1196.44ms, mfu 5.48%
iter 185: loss 2.1368, time 1194.03ms, mfu 5.48%
iter 186: loss 2.2910, time 1196.33ms, mfu 5.48%
iter 187: loss 2.1428, time 1190.94ms, mfu 5.48%
iter 188: loss 2.2645, time 1194.17ms, mfu 5.48%
iter 189: loss 2.2829, time 1194.22ms, mfu 5.48%
iter 190: loss 2.1670, time 1188.10ms, mfu 5.49%
iter 191: loss 2.3073, time 1188.70ms, mfu 5.49%
iter 192: loss 2.1800, time 1194.41ms, mfu 5.49%
iter 193: loss 2.2731, time 1190.80ms, mfu 5.49%
iter 194: loss 2.2123, time 1197.50ms, mfu 5.49%
iter 195: loss 2.2934, time 1191.91ms, mfu 5.49%
iter 196: loss 2.2926, time 1194.21ms, mfu 5.49%
iter 197: loss 2.2041, time 1192.93ms, mfu 5.49%
iter 198: loss 2.2739, time 1196.68ms, mfu 5.49%
iter 199: loss 2.2370, time 1192.47ms, mfu 5.49%
iter 200: loss 2.1717, time 4520.76ms, mfu 5.08%
iter 201: loss 2.2963, time 1188.25ms, mfu 5.13%
iter 202: loss 2.1328, time 1192.71ms, mfu 5.16%
iter 203: loss 2.1213, time 1191.79ms, mfu 5.20%
iter 204: loss 2.1662, time 1194.96ms, mfu 5.23%
iter 205: loss 2.1574, time 1191.21ms, mfu 5.25%
iter 206: loss 2.2194, time 1194.00ms, mfu 5.28%
iter 207: loss 2.1003, time 1193.84ms, mfu 5.30%
iter 208: loss 2.0955, time 1193.39ms, mfu 5.32%
iter 209: loss 2.2251, time 1192.90ms, mfu 5.33%
iter 210: loss 2.1164, time 1193.49ms, mfu 5.35%
iter 211: loss 2.1458, time 1193.01ms, mfu 5.36%
iter 212: loss 2.1234, time 1194.00ms, mfu 5.38%
iter 213: loss 2.1312, time 1193.03ms, mfu 5.39%
iter 214: loss 2.2014, time 1195.50ms, mfu 5.40%
iter 215: loss 2.0435, time 1191.15ms, mfu 5.41%
iter 216: loss 2.0832, time 1194.94ms, mfu 5.41%
iter 217: loss 2.1321, time 1190.98ms, mfu 5.42%
iter 218: loss 2.1010, time 1192.61ms, mfu 5.43%
iter 219: loss 2.1577, time 1194.37ms, mfu 5.44%
iter 220: loss 2.0844, time 1193.77ms, mfu 5.44%
iter 221: loss 2.2542, time 1191.52ms, mfu 5.45%
iter 222: loss 2.2279, time 1193.93ms, mfu 5.45%
iter 223: loss 2.1453, time 1192.21ms, mfu 5.45%
iter 224: loss 2.0443, time 1193.85ms, mfu 5.46%
iter 225: loss 2.1273, time 1192.08ms, mfu 5.46%
iter 226: loss 2.0774, time 1195.59ms, mfu 5.46%
iter 227: loss 2.1064, time 1193.49ms, mfu 5.47%
iter 228: loss 2.1514, time 1194.98ms, mfu 5.47%
iter 229: loss 2.1098, time 1193.81ms, mfu 5.47%
iter 230: loss 2.1665, time 1194.42ms, mfu 5.47%
iter 231: loss 2.0581, time 1194.23ms, mfu 5.47%
iter 232: loss 2.0797, time 1194.89ms, mfu 5.47%
iter 233: loss 2.0911, time 1191.98ms, mfu 5.48%
iter 234: loss 2.0928, time 1192.69ms, mfu 5.48%
iter 235: loss 2.0389, time 1192.45ms, mfu 5.48%
iter 236: loss 2.1216, time 1194.09ms, mfu 5.48%
iter 237: loss 2.1790, time 1193.29ms, mfu 5.48%
iter 238: loss 2.0968, time 1193.73ms, mfu 5.48%
iter 239: loss 2.0160, time 1193.07ms, mfu 5.48%
iter 240: loss 2.0007, time 1194.23ms, mfu 5.48%
iter 241: loss 2.0779, time 1187.58ms, mfu 5.49%
iter 242: loss 2.1358, time 1195.61ms, mfu 5.49%
iter 243: loss 2.0522, time 1193.65ms, mfu 5.49%
iter 244: loss 2.0438, time 1192.63ms, mfu 5.49%
iter 245: loss 2.0196, time 1194.17ms, mfu 5.49%
iter 246: loss 2.0587, time 1196.18ms, mfu 5.49%
iter 247: loss 2.1420, time 1193.67ms, mfu 5.49%
iter 248: loss 1.9392, time 1195.39ms, mfu 5.48%
iter 249: loss 2.1792, time 1193.93ms, mfu 5.48%
iter 250: loss 2.0458, time 1193.76ms, mfu 5.49%
iter 251: loss 2.1290, time 1193.10ms, mfu 5.49%
iter 252: loss 2.1503, time 1195.80ms, mfu 5.48%
iter 253: loss 2.0772, time 1190.99ms, mfu 5.49%
iter 254: loss 2.0550, time 1195.31ms, mfu 5.49%
iter 255: loss 2.1324, time 1192.37ms, mfu 5.49%
iter 256: loss 2.0954, time 1196.49ms, mfu 5.49%
iter 257: loss 2.0577, time 1192.12ms, mfu 5.49%
iter 258: loss 2.0862, time 1196.96ms, mfu 5.48%
iter 259: loss 2.0430, time 1192.12ms, mfu 5.49%
iter 260: loss 2.0006, time 1195.89ms, mfu 5.49%
iter 261: loss 1.9519, time 1192.93ms, mfu 5.49%
iter 262: loss 2.0827, time 1193.43ms, mfu 5.49%
iter 263: loss 2.1455, time 1194.76ms, mfu 5.49%
iter 264: loss 2.0601, time 1191.76ms, mfu 5.49%
iter 265: loss 2.0257, time 1192.57ms, mfu 5.49%
iter 266: loss 2.0228, time 1197.33ms, mfu 5.49%
iter 267: loss 2.0207, time 1192.22ms, mfu 5.49%
iter 268: loss 2.0491, time 1197.04ms, mfu 5.49%
iter 269: loss 2.0370, time 1191.80ms, mfu 5.49%
iter 270: loss 2.0702, time 1194.90ms, mfu 5.49%
iter 271: loss 1.9758, time 1192.49ms, mfu 5.49%
iter 272: loss 2.0287, time 1194.71ms, mfu 5.49%
iter 273: loss 2.1390, time 1194.05ms, mfu 5.49%
iter 274: loss 2.0675, time 1195.15ms, mfu 5.49%
iter 275: loss 2.0476, time 1191.99ms, mfu 5.49%
iter 276: loss 2.0821, time 1195.67ms, mfu 5.49%
iter 277: loss 2.2047, time 1192.75ms, mfu 5.49%
